Time,Q1,Q2,Q3,Q4,Q5,Q6,dQ1,dQ2,dQ3,dQ4,dQ5,dQ6,TCPx,TCPy,TCPz
8.16,-1.91381165017706,-2.21716573356318,-0.899055823450342,-1.0981610934805,1.73976332372385,-0.299954435628108,-0.0301324960038555,0.44437935195564,-0.825245502749069,0.376350282111883,0.014393566719452,-0.0268548241954359,0.384540908921977,0.815214770718461,0.248770454337127
8.18,-1.91441530907748,-2.2083374686385,-0.915429598051333,-1.09070613648969,1.74005165282598,-0.30049246132537,-0.0302749725139253,0.438330761392459,-0.811923476173883,0.369047164350957,0.0144592245749478,-0.0269847067244164,0.387527272484637,0.814943179561795,0.248913636141259
8.2,-1.91502391111927,-2.19963552604824,-0.931527477413456,-1.08340165717576,1.7403422948566,-0.30103494617229,-0.0305680290069352,0.431996890408054,-0.7981255729854,0.361530959274973,0.0145967118700791,-0.0272485095354004,0.390513636043495,0.814671588387232,0.249056817944382
8.22,-1.91563751574813,-2.19105309900639,-0.947363461270832,-1.07624047707951,1.74063527528192,-0.301581944942412,-0.0308005780759162,0.426264883694416,-0.785517618771464,0.35461158651785,0.0147052537559153,-0.0274586107488016,0.393499999598517,0.814399997206191,0.249199999761131
8.24,-1.91625618426627,-2.18258392864734,-0.962950408130249,-1.06921600813082,1.74093062403237,-0.302133513328808,-0.0310634731358979,0.420714418076462,-0.77330243033698,0.347898746003718,0.0148282302440705,-0.0276957599423533,0.393499999598517,0.814399997206191,0.249199999761131
8.26,-1.91687997790313,-2.17422224563231,-0.978300155421692,-1.06232219724448,1.74122836722874,-0.302689707714669,-0.0313178926551123,0.415492147988811,-0.761751733086491,0.341523211879637,0.01494707269657,-0.0279254660531463,0.392904000968352,0.811423998647074,0.248480001097236
8.28,-1.91750895992185,-2.1659627157677,-0.993423634158116,-1.05555346006646,1.74152853532383,-0.303250585765028,-0.0315800931435953,0.410504698124387,-0.750685439766227,0.335395911047429,0.0150695881035362,-0.0281621662443249,0.392308000764898,0.80844799844626,0.247760000901569
8.3,-1.91814319357993,-2.15780039640014,-1.00833095808044,-1.04890464074402,1.74183115560318,-0.30381620566764,-0.0318443803347144,0.405764178469139,-0.740122646880532,0.329524590848689,0.0151929801973704,-0.0284008207455815,0.391712000605841,0.805471998263155,0.247040000688083
8.32,-1.91878274394334,-2.1497306955044,-1.02303151012278,-1.04237096188305,1.74213625866554,-0.304386626880729,-0.0321103929383737,0.401242383949287,-0.730006810928151,0.323881067014277,0.0153171740659431,-0.028641081573113,0.391116000486646,0.802495998259476,0.246320000626131
8.34,-1.91942767657006,-2.14174933821762,-1.03753401099933,-1.03594799273856,1.74244387360921,-0.304961909606152,-0.0323850875856191,0.396925451024288,-0.720308860777294,0.318448947511283,0.0154453672656674,-0.0288891836054394,0.390520000398374,0.799519998268905,0.245600000568119
8.36,-1.92007805841774,-2.13385233588884,-1.05184658424119,-1.02963161296575,1.74275403124752,-0.30554211517532,-0.032649906294542,0.392808020396357,-0.711015657836805,0.313223457461367,0.0155688855028431,-0.0291285356551771,0.389923980478576,0.796544005846007,0.244880026418028
8.38,-1.92073395778326,-2.1260359594986,-1.06597681140197,-1.02341798428435,1.74306676379456,-0.306127306027635,-0.0329492957712135,0.388853805207546,-0.702056980299597,0.308163645174037,0.0157087342762836,-0.0293988398358114,0.389327980660303,0.793568004707509,0.244160024996741
